timestamp,symbol,price,quantity
2025-07-13T13:54:25.047232,DHANBANK,1317.52,27
2025-07-13T13:54:25.106072,CINELINE,1467.71,37
2025-07-13T13:54:25.167761,ADANIPORTS,1373.11,60
2025-07-13T13:54:25.230902,CREATIVEYE,1023.55,70
2025-07-13T13:54:25.292080,DIL,1310.34,53
2025-07-13T13:54:25.353353,CCCL,1985.39,30
2025-07-13T13:54:25.415375,DHARMAJ,1269.85,86
2025-07-13T13:54:25.477264,BHEL,1035.21,28
2025-07-13T13:54:25.538524,AKUMS,1650.91,8
2025-07-13T13:54:25.599603,BEARDSELL,1756.96,16
2025-07-13T13:54:25.662141,DCI,1144.54,89
2025-07-13T13:54:25.724632,AKSHOPTFBR,1133.39,63
2025-07-13T13:54:25.786275,BANKA,1346.77,28
2025-07-13T13:54:25.848267,DCM,1496.53,52
2025-07-13T13:54:25.909726,CEATLTD,1099.88,91
2025-07-13T13:54:25.971738,ATLANTAA,1332.35,33
2025-07-13T13:54:26.034441,COLPAL,1308.28,58
2025-07-13T13:54:26.095061,CHEMBOND,1919.22,43
2025-07-13T13:54:26.157114,BCLIND,1565.44,95
2025-07-13T13:54:26.218561,CAPACITE,1438.48,58
2025-07-13T13:54:26.281592,ARIHANTCAP,1551.65,87
2025-07-13T13:54:26.342733,63MOONS,1470.78,83
2025-07-13T13:54:26.403805,ANUP,1106.0,38
2025-07-13T13:54:26.466412,ADANIPOWER,1717.13,72
2025-07-13T13:54:26.527528,ARROWGREEN,1429.49,64
2025-07-13T13:54:26.588907,BALAMINES,1658.44,20
2025-07-13T13:54:26.650009,DLINKINDIA,1065.03,7
2025-07-13T13:54:26.710790,ASIANHOTNR,1239.18,82
2025-07-13T13:54:26.772469,ADANIGREEN,1993.11,27
2025-07-13T13:54:26.833703,3IINFOLTD,1908.36,28
2025-07-13T13:54:26.895711,AVADHSUGAR,1713.08,32
2025-07-13T13:54:26.957699,BAFNAPH,1464.54,90
2025-07-13T13:54:27.019807,DENTA,1951.82,37
2025-07-13T13:54:27.082047,AVONMORE,1774.28,13
2025-07-13T13:54:27.144438,CINEVISTA,1095.54,90
2025-07-13T13:54:27.207495,APOLLOPIPE,1788.93,2
2025-07-13T13:54:27.269772,AHLUCONT,1838.92,81
2025-07-13T13:54:27.331737,BANG,1631.32,80
2025-07-13T13:54:27.394023,CHEMBOND,1919.38,1
2025-07-13T13:54:27.455454,BINANIIND,1577.24,7
2025-07-13T13:54:27.516633,ADVENZYMES,1004.07,74
2025-07-13T13:54:27.578919,BORANA,1926.5,69
2025-07-13T13:54:27.640259,BANG,1631.79,13
2025-07-13T13:54:27.702075,DIAMINESQ,1063.59,17
2025-07-13T13:54:27.763559,ASHOKA,1581.77,97
2025-07-13T13:54:27.825483,DHANBANK,1317.29,92
